Subject_ID,Subject_Description,Keywords
1604,Effects of all personal characteristics,", Effects of all personal characteristics"
1605,Identity,"self, Identity"
1606,Fear of failure,"fail anxiety, self assured, confident, Fear of failure"
1607,Actual goal realization,"achievement, success, Actual goal realization"
1608,Goal adjustment,"goal continuity, goal change, Goal adjustment"
1609,Behavioral relevance,"goal involvement, Behavioral relevance"
1610,Flexibility of goals,"rigid, Flexibility of goals"
1611,Diversity of goals,"variety, heterogeneity, homogeneity, Diversity of goals"
1612,Satisfaction with oneself,"self esteem, self acceptance, self confidence, Satisfaction with oneself"
1613,Satisfaction with health,"illness, disease, disturbance, Satisfaction with health"
1615,Five years ago,"recent past, Five years ago"
1616,Society,"nation, country, social order, Society"
1617,Earlier health,"illness, disease, disturbance, Earlier health"
1618,Earlier mental effectiveness,"disturbed, mad, mental ill, sane, Earlier mental effectiveness"
1619,Earlier preferences,"aim, ambition, aspiration, calling, life goal, life plan, longing, want, Earlier preferences"
1620,Earlier values,"belief, opinion, evaluation, ideal, morality standard, conviction, philosophy, Earlier values"
1621,Earlier appreciations,"satisfaction, appraisal, enjoyment, evaluation, discontent, dissatisfaction, unsatisfied, Earlier appreciations"
1622,Perceived livability of nations,"quality of life, beliefs, stereotype, Perceived livability of nations"
1623,"Ideological connotations of the term ""happiness""","notion, emblem, Ideological connotations of the term ""happiness"""
1625,Perceived entitled happiness (How happy one ought to be),"right for happiness, Perceived entitled happiness (How happy one ought to be)"
1628,Happiness in history,"annals, chronology, past, review, Happiness in history"
1629,Focused interview,"discursive interrogation, targeted, Focused interview"
1630,Life chart,"life graph, Life chart"
1631,Homeless,"bum, vagrant, street child, Homeless"
1632,Will brain manipulation yield happiness?,"cerebrum, grey matter, Will brain manipulation yield happiness?"
1633,Personality in nation,"national character, modal personality, Personality in nation"
1634,Authenticity of goals,"extrinsic, intrinsic, false, genuine, true, Authenticity of goals"
1635,Satisfaction with school,"education, learn, teacher, Satisfaction with school"
1636,Emotional intelligence,"EQ, social intelligence, Emotional intelligence"
1637,Happiness level in cities,"town, urban, capital, metropolis, suburb, Happiness level in cities"
1638,Prominence of happiness as a research topic,"attention for, interest in, popularity of, prevalence of happiness, Prominence of happiness as a research topic"
1639,Gardening,", Gardening"
1640,Competitiveness in nation,"achievement motivation, success, fear of failure, Competitiveness in nation"
1641,Happiness and Study,"academy, college, education, school, seminary, training, Happiness and Study"
1642,School type,"educational kind, sort, specialization, School type"
1643,School characteristics,"school organization, school climate, School characteristics"
1644,School success,"school performance, achievement, exam, fail, grades, qualification, School success"
1645,Analysis of (history) of ideas,"doctrine, creed, view, Analysis of (history) of ideas"
1646,Mood awareness,"alexithymia, unaware, repression, Mood awareness"
1649,Average happiness,"distribution, central tendency, mean happiness, greatest number, Average happiness"
1650,Happy Life Years,"happiness adjusted life years, haly, hly, Happy Life Years"
1651,Inequality in happiness,"disparity, dispersion, unequal, standard deviation, spread, Inequality in happiness"
1652,Inequality-adjusted happiness,"iah, combination of average and inequality, Inequality-adjusted happiness"
1653,Combinations with other variables to denote wellbeing,"multiplex index, Combinations with other variables to denote wellbeing"
1655,Stability of happiness,"variability, permanence, Stability of happiness"
1656,Inequality of happiness in nation,"inequality, dispersion, Inequality of happiness in nation"
1657,Differences across nations,"cross-cultural variation, Differences across nations"
1658,Trends  overtime,"development, drift, historic, over-time, Trends  overtime"
1660,Trust in nation,"confidence, faith, Trust in nation"
1661,Dying,"death, decease, mortality, closeness to death, end stage, Dying"
1662,Homeostatic mechanisms,"homeostasis, Homeostatic mechanisms"
1663,Effects on earnings,"income, salary, wages, pay, Effects on earnings"
1664,Neuroticism (ICD code F60),"difficult, nervous, touchy, unstable, Neuroticism (ICD code F60)"
1665,Work values,"work ethic, Work values"
1666,Economic prosperity in vicinity,"affluence, deprivation, poverty, wealth, Economic prosperity in vicinity"
1667,Income difference in vicinity,"inequality, dispersion, Income difference in vicinity"
1668,Meaning in life,"purpose in life, Meaning in life"
1669,Happiness and Consumption,"buy, expend, purchase, use, Happiness and Consumption"
1670,Policy aims,"public choice, planning, program, Policy aims"
1671,Neural mechanisms,"brain, centers, synapses, Neural mechanisms"
1672,Are there temperamental differences in pleasure proneness?,"genetic, inborn, innate, Are there temperamental differences in pleasure proneness?"
1673,Perceptions of success in meeting standards,"accomplishment, achievement, failure, Perceptions of success in meeting standards"
1674,Evidence for comparison theory,"proof, confirmation, Evidence for comparison theory"
1675,Problems in reconstructing the evaluation of life,"black box, Problems in reconstructing the evaluation of life"
1676,Is stability better than instability?,"desirability, value, Is stability better than instability?"
1677,Pleasure as general force in motivation,"joy,, Pleasure as general force in motivation"
1678,Happiness as an individual goal,"private, actor utilitarianism, Happiness as an individual goal"
1679,Happiness as a public goal,"greatest happiness for the greatest number, rule utilitarianism, Happiness as a public goal"
1680,Dysfunction of making up one's mind,"costs of awareness, Dysfunction of making up one's mind"
1681,Dysfunction of judging life positively,"false optimism, Dysfunction of judging life positively"
1682,Are improvements of any consequences?,"benefit, use, Are improvements of any consequences?"
1683,Accuracy of perception,"difference expected experienced utility, hedonic fore casting, misprediction of utility, Accuracy of perception"
1684,Follow-up of individuals,"over time, panel, Follow-up of individuals"
1685,Trend happiness in collectivities,"cohort, time series, Trend happiness in collectivities"
1686,Financial equivalence,"cost, money value, monetary compensation, utility calculation, Financial equivalence"
1687,Earlier intimate environment,"family, relatives, kin, intimate, primary relations, Earlier intimate environment"
1688,Social problems in vicinity,"local burden, issue, problem, stressor, question, Social problems in vicinity"
1690,Kindness,"compassion, sympathy, gentleness, Kindness"
1691,Minor daily event,"hassle, annoy, stress, joy, Minor daily event"
1692,Major life events,"phase, crisis, turning point, cumulative risk, Major life events"
1693,Deviant behavior,"abnormal, unusual, nonstandard, Deviant behavior"
1694,Safety in the nation,"security, protection, Safety in the nation"
1695,Pessimism in nation,"cynic, doom, negativity, optimism, Pessimism in nation"
1696,Valuation of pleasure in nation. Moral hedonism,"enjoyment, pleasure seeking, lust acceptance, frugality, austerity, epicureanism, abstinence, Valuation of pleasure in nation. Moral hedonism"
1698,Inequality in social prestige in nation,"social stratification, social distance, social ladder, have have-not, ingroup outgroup, Inequality in social prestige in nation"
1699,Living in Jail,"incarnated, prison, penitentiary, locked up, Living in Jail"
1700,Commuting,"home-work travel, daily travel, suburbanite, Commuting"
1701,Wisdom,"knowledge, insight, Wisdom"
1702,Scalability,", Scalability"
1703,Single questions,"one item, Single questions"
1704,Weight,"underweight, obese, overweight, bmi, Weight"
1705,In middle aged people,"mid life, 40+, 50+, In middle aged people"
1706,Life regrets,"grieve, discontent, Life regrets"
1707,Homeless,"roofless, bum, waif, street child, Homeless"
1708,Experience sampling (ESM),"beeper, momentary mood, Experience sampling (ESM)"
1709,Day reconstruction moment (DRM),"diary, yesterday mood, Day reconstruction moment (DRM)"
1710,Change in happiness over time,"development, drift, era, longitudinal, period, stage, trend, Change in happiness over time"
1711,Self employed,"freelance, portfolio work, Self employed"
1713,Happiness and use of mental training/therapy,"happiness seekers, yoga, meditation, Happiness and use of mental training/therapy"
1714,Observed effects on happiness of interventions at individual level,"course, learn, teach, therapy, training, treatment, Observed effects on happiness of interventions at individual level"
1715,Happiness trainings,"course, counsel, positive psychology, Happiness trainings"
1716,Activation programs,", Activation programs"
1717,Spiritual encounter,"divine, metaphysical, sacred, Spiritual encounter"
1718,"Lifestyle advise, life coaching","way of life, daily life, habit, manner of living, Lifestyle advise, life coaching"
1719,Artistic activities,"drawing, creativity,, Artistic activities"
1720,Home care,"nursing home, Home care"
1721,Ability to work,"disabled, handicapped, unfit for work, student, Ability to work"
1722,Unemployment rate in nation,"idle, jobless, employed, occupied, Unemployment rate in nation"
1723,Blood pressure,"hypertension, Blood pressure"
1724,Cultural diversity in nation,"culture conflict, disagreement, monoculture, multicultural, variety, uniformity, Cultural diversity in nation"
1725,Happiness of ethnic groups in nations,"allochthone, autochthone, minority, race, culture, language, migrants, Happiness of ethnic groups in nations"
1726,Dysfunction of happiness,"disadvantage, harm, hinder, Dysfunction of happiness"
1727,Religiousness in nation,"church, faith, mosque, religion, spirituality, Religiousness in nation"
1728,Position of the nation,"world system, central peripheral, developed, power, ranking, reputation, Position of the nation"
1729,Comparative quality-of-life in nation,"quality of life, welfare, Comparative quality-of-life in nation"
1730,Risk orientation,"anxious, daring, guts, Risk orientation"
1731,Gratitude,"thankfulness, appreciation, Gratitude"
1732,Prediction of one's own happiness,"expectation, optimism, pessimism, Prediction of one's own happiness"
1733,Young singles,"bachelor, never married, spinster, Young singles"
1735,Homogeneity in nation,"similar, uniform, heterogenous, homogeneous, Homogeneity in nation"
1737,Command of language,"foreign tongue, bilingual, multilingual, native speaker, Command of language"
1738,Forgiveness,"clemency, pardon, Forgiveness"
1739,Perceived importance of own happiness,"value, valuation, trivial unimportant, Perceived importance of own happiness"
1740,Trade unions in nation,"labor union, syndicate, Trade unions in nation"
1741,Handicapped,"disabled, Handicapped"
1743,Prominence in public discourse,"public interest, Prominence in public discourse"
1744,Time frame of questions,"temporal reference, Time frame of questions"
1745,Attitudes to happiness,"public opinion, value, Attitudes to happiness"
1746,Lottery winning,"gambling, luck, Lottery winning"
1747,Savings/insurances,"assurance, saving, Savings/insurances"
1748,Trend happiness in cities,"town, urban, capital, metropolis, municipality, Trend happiness in cities"
1749,Education in nation,"school, teaching, learning,, Education in nation"
1750,"Past, present and future","combine, Past, present and future"
1751,Size of environmental effect,"effect size, external influence, Size of environmental effect"
1752,Taxation in nation,"duty, fiscal,tax-regime, toll, Taxation in nation"
1753,Inflation in nation,"money safety, price rise, deflation, Inflation in nation"
1754,Unrest in nation,"conflict, instability, civil war, disintegration, protest, revolt, riots, Unrest in nation"
1755,Adolescents,"youth, teenagers, secondary school, Adolescents"
1756,Multiple questions involving invalid ones,"inventory, scale, test,, Multiple questions involving invalid ones"
1757,Sustainability,"long-term, exhaustion of natural resources, Sustainability"
1758,Can one be too happy?,"optimal mood, Can one be too happy?"
1759,Certainty of happiness,"sure, unambiguous, Certainty of happiness"
1760,Problems,"worry, anxiety, concern, Problems"
1761,Effects on fertility,"infertility, Effects on fertility"
1762,Size of government in nation,"administration, big government,, Size of government in nation"
1763,Quality of government in nation,"good governance,, Quality of government in nation"
1764,Internet,"computer, Facebook, pc, social media, web surfing, Internet"
1766,Peak/end effects,"contrast, Peak/end effects"
1769,Effects on social participation,"social contact, isolation, Effects on social participation"
1770,Hope,"doubt, optimist, Hope"
1771,Death,"dying, will to live, Death"
1772,Androgynous,"unisexual, bisexual, cross-sexual, Androgynous"
1773,Androgens,", Androgens"
1775,School grade,"class, level, stage,, School grade"
1776,Satisfaction with consumption,"consume, use, buy, Satisfaction with consumption"
1777,Human/animal similarities,"apes, evolution, genetic distance, primates, Human/animal similarities"
1778,Birth pattern in nation,"birth-rate, fertility, infertility, Birth pattern in nation"
1779,Menopause,"climacteric, Menopause"
1780,Foster-children,"adopt, care for, Foster-children"
1781,Housing,"accommodation, apartment, dwelling, flat, home, house, room, Housing"
1782,Satisfaction with care,"help, support, Satisfaction with care"
1783,Retirement age in nation,"pension, Retirement age in nation"
1784,Job protection in nation,"flex work, tenure,, Job protection in nation"
1786,Data sets,"primary data, data archive, secondary analysis, Data sets"
1787,Questions and approaches,"perspectives, issues, Questions and approaches"
1788,Problems in the study of happiness,"complications, doubts, Problems in the study of happiness"
1789,Research organizations involved with happiness,"research associations, institutes, Research organizations involved with happiness"
1790,Symbolic use,"emblematic, rhetoric, Symbolic use"
1791,Normative use,"ideal, ideological,  moral, utopian, Normative use"
1792,Analytic use,"scientific, Analytic use"
1793,Private freedom in nation,"civil liberty, personal freedom, Private freedom in nation"
1794,Content of questions,"subject, wording, lead question, Content of questions"
1795,Self report on indirect questions,"inferred, contracted, not straightforward, Self report on indirect questions"
1796,Further calculative strategies of the mind,"heuristics, Further calculative strategies of the mind"
1797,Defensive bias,"ego defense, Defensive bias"
1798,Functions of affective experience,"emotion, Functions of affective experience"
1799,Functions of awareness of overall hedonic level,"self knowledge, introspection, Functions of awareness of overall hedonic level"
1800,Optimal ratio of positive and negative affect,"affect balance, sum, Optimal ratio of positive and negative affect"
1802,Alienation in nation,"isolation, distancing, estrangement, Alienation in nation"
1803,Success in war of nation,"rimed conflict, peace, war, victory, defeat, Success in war of nation"
1804,Tightness in nation,"rigid, strict, Tightness in nation"
1805,Households in nation,"domestic, family, home, living together, Households in nation"
1806,Public life in nation,"civic, civil, not private, open, Public life in nation"
1807,Divorce rate in nation,"separation, marriage, Divorce rate in nation"
1808,Inner conditions,"internal, psychological, Inner conditions"
1809,Theories about happiness and intimate ties,", Theories about happiness and intimate ties"
1810,Joint effects,"social inclusion, exclusion, social capital, marginal, Joint effects"
1811,Non-family household,"asylum, barracks, boarding school, camp, care home, commune,  convent, orphanage, prison, Non-family household"
1812,Cognitive style,"manner of thinking, intuitive, calculative, divergent, convergent, Cognitive style"
1815,Conventionality  of aims,"originality, Conventionality  of aims"
1816,Selectivity in non-response to questions about happiness,"don't know, no answer, DK/NA, Selectivity in non-response to questions about happiness"
1817,Schizophrenia (ICD code F20),"confusion, hallucination, Schizophrenia (ICD code F20)"
1818,Appropriateness,"apt, correct, proper, right, wrong, functional, Appropriateness"
1819,Certainty,"ambiguity, doubt, equivocal, Certainty"
1820,Stability,"constancy, permanence, Stability"
1822,Kinds of effect,"determinant, influence, outcomes, result, Kinds of effect"
1823,Cohesion in nation,"cooperation, social capital, social stability, anarchy, disintegration, Cohesion in nation"
1824,Minority problems in nation,"ethnicity, migrants, race, Minority problems in nation"
1825,In publics in nations,"social category, group,, In publics in nations"
1826,Happiness of children in nations,"youth, kids, teenager, baby, toddler, infant, Happiness of children in nations"
1827,Happiness of adolescents in nations,"teenager, youth, puberty, student, pupil, Happiness of adolescents in nations"
1828,Happiness of elderly in nations,"aged, elders, old, pensioners, Happiness of elderly in nations"
1830,History of philosophical thought,"annals, chronology, review, History of philosophical thought"
1831,Classics,"ancient times, antiquity, Greek, roman, Classics"
1832,Contemporary,"modern, present day, current, Contemporary"
1833,Concepts of happiness,"idea, conception, construct, notion, theory, analysis, Concepts of happiness"
1834,Objective vs. Subjective concepts,"external observed, internal experienced, inner experience, Objective vs. Subjective concepts"
1835,Mixed concepts: enjoying life while …,"hedonic plus, Mixed concepts: enjoying life while …"
1836,Being well-informed,"misinformed, prudential, rational, Being well-informed"
1837,Being morally sound,"ethical valuable, good, virtuous, Being morally sound"
1838,Living up to common standards,"conform, success in life, follow norm, Living up to common standards"
1839,"Thriving, actualizing","self-actualization, growth, prosper, Thriving, actualizing"
1841,Happiness as affective experience,"emotion, feeling, hedonic experience, mood, pleasure, Happiness as affective experience"
1842,Happiness as a cognitive appraisal,"compare, evaluate, reference, standard, Happiness as a cognitive appraisal"
1843,Happiness as an attitude,"disposition, trait, Happiness as an attitude"
1844,Short-term vs long-term happiness,"constant, fixed, set point, trait, unstable, changing, short lived, Short-term vs long-term happiness"
1845,Self-judgment of happiness,"assess , appraisal, evaluation, observation, Self-judgment of happiness"
1846,How do people make judgment?,"asses, evaluate, How do people make judgment?"
1847,How rational?,", How rational?"
1848,Conditions for happiness,"cause, determinant, necessity, precondition, requirement, Conditions for happiness"
1849,Value of happiness,"cost, desirability, merit, profit, utility, virtue, Value of happiness"
1850,Are there 'higher' and 'lower' kinds of happiness?,"quality, virtue, worth, Are there 'higher' and 'lower' kinds of happiness?"
1851,Utility of happiness,"morality of happiness, Utility of happiness"
1852,As a guide in private choice,"individual, personal, actor utilitarianism, As a guide in private choice"
1853,As a guide in public choice,"general interest, politic, rule utilitarianism, As a guide in public choice"
1854,Paradoxes of happiness,"contradiction, puzzle, Paradoxes of happiness"
1855,Control over one's happiness,"autonomy, Control over one's happiness"
1856,Vacationing,"vacation, holiday, trip, Vacationing"
1857,Development of happiness research,"evolution, growth, Development of happiness research"
1858,Comparison over time,"longitudinal, over time, Comparison over time"
1859,Centralization in nation,"decentralization, unification, segregation, Centralization in nation"
1860,"When hedonic level most decisive, when contentment?",", When hedonic level most decisive, when contentment?"
1861,Time spent in unpleasant activities in nation,"enjoyment, time happy, u-index, Time spent in unpleasant activities in nation"
1863,Is lasting happiness possible?,"feasible, attainable, utopic, practicable, enduring, lifelong, long-term, fleeting, short-lived, transient, Is lasting happiness possible?"
1864,How much happiness is optimal?,"too happy, sum, very happy, How much happiness is optimal?"
1865,Empirical support for ideas,"empirical data, empirical evidence, test, Empirical support for ideas"
1866,Epicureanism,"Epicure, Epicureanism"
1867,Regional setting,"area, county, department, province, state, Regional setting"
1868,Work hours in nation,"work day, work week, Work hours in nation"
1869,Allocation efficiency; difference in happiness of people with random preference pattern,"harmony, consistency, congruity, conflict, Allocation efficiency; difference in happiness of people with random preference pattern"
1870,Brain,"mind, Brain"
1871,Envious,"jealous, resentment, social comparison, Envious"
1872,Outer conditions,"environmental, external, Outer conditions"
1873,Inequality between sexes (women emancipation) in nation,"gender equality, women rights, liberation, discrimination, Inequality between sexes (women emancipation) in nation"
1874,Giving,"altruism, Giving"
1875,Is happiness the final end?,"mono-ethical, highest good, ultimate value, Is happiness the final end?"
1876,Affect-contentment configuration,"combination, structure, Affect-contentment configuration"
1877,Effects on political behavior,"civic, Effects on political behavior"
1878,Perceived sources of happiness,"attribution, ascription, belief, cause, condition, determinant, hedonic forecast, Orientations to Happiness Questionnaire OTH or OHQ, Perceived sources of happiness"
1879,Self-help,"advisory books, bibliotherapy, happiness apps, Self-help"
1880,Happiness and Love Life,"affair, affection, conjugal, concubine, mistress,  romantic, sexuality, Happiness and Love Life"
1882,Time unhappy,"u-index, Time unhappy"
1883,Comparison,"contrasting, Comparison"
1884,Happiness lessons in school,"curriculum, course, class, teaching, tutoring, Happiness lessons in school"
1885,Migration to other country,"emigration, immigration, migrant, expatriate, Migration to other country"
1886,Living apart together (LAT),"bi-local household, Living apart together (LAT)"
1887,Sporting in nation,"athletic, game, excursive, Sporting in nation"
1888,Work attitudes,"work ethic, job satisfaction, Work attitudes"
1889,Work/family conflict,"work-life balance, work-family interaction, professional-private interference, Work/family conflict"
1890,Recommended ways of life (individual level),"life choice, Recommended ways of life (individual level)"
1891,Trend average happiness in publics,"group, social category, Trend average happiness in publics"
1892,Music listening,", Music listening"
1894,Time happy/unhappy,"ups downs, mood, Time happy/unhappy"
1895,Extra-ordinary states of consciousness,"peak experience, bliss, ectasis, mystic, Extra-ordinary states of consciousness"
1897,Civic organization in nation,"civil, communal, voluntary organization, Civic organization in nation"
1899,Height,"length, Height"
1904,Consumption in nation,"buy, spend, use, Consumption in nation"
1905,Anthropometric indicators of human thriving in nation,"height, length, body size, Anthropometric indicators of human thriving in nation"
1907,MEASUREMENT of HAPPINESS,"assessment, indicator, quantification, rating, MEASUREMENT of HAPPINESS"
1908,Views,"aspiration, choice, convictions, desire, goal, liking, value, want, Views"
1910,People investigated: some populations,"social categories, groups, population, public, People investigated: some populations"
1911,Happiness in twins,"monozygotic, dizygotic, Happiness in twins"
1912,Birth control  in nation,"family planning, contraception, abortion, sterilization, Birth control  in nation"
1913,Young-old difference in happiness,"generation gap, Young-old difference in happiness"
1914,Trust in people,", Trust in people"
1915,Happiness and Life-Style-Type,"life style, lifestyle, way of life, Happiness and Life-Style-Type"
1916,Food,"eating, nutrition, food, Food"
1917,Hedonic tone in public communications,"big  data, valance of words, Hedonic tone in public communications"
1918,Trend hedonic tone in public communications,", Trend hedonic tone in public communications"
1919,Mindfulness,"awareness, perceptiveness, Mindfulness"
1920,Trend happiness in males and females,", Trend happiness in males and females"
1921,Trend happiness in age groups,"cohort, generation, working age, retired, adolescents, children, youth, middle aged, elderly, old, Trend happiness in age groups"
1923,Built environment,"city, buildings, streets, town, urban, Built environment"
1925,Urbanity,"population density, suburban, metropolis, Urbanity"
1929,Law in the nation,"justice, Law in the nation"
1936,Inequality in the nation,"discrimination, inequity, Inequality in the nation"
1937,Freedom in the nation,"opportunity to choose, Freedom in the nation"
1939,Attitudes in nation,"belief, opinion, stance, Attitudes in nation"
1940,Government in nation,", Government in nation"
1941,Knowledge in nation,"intelligence, schooling, wisdom, Knowledge in nation"
1942,Public goods in the nation,"amenities, collective care, communal, free facilities, third sector, government services, welfare, Public goods in the nation"
1943,Working conditions in nation,"work environment, Working conditions in nation"
1944,Life-style in the nation,"way of life, habitus, Life-style in the nation"
1946,Personality development,", Personality development"
1947,Personality organization,", Personality organization"
1948,Personality traits,"character, disposition, Personality traits"
1950,Motivation,"drive, need, goal, want, Motivation"
1952,Anxiety,"fear, unease, Anxiety"
1953,Sociability,", Sociability"
1954,Happiness level in places,"area, region, territory, Happiness level in places"
1955,Awareness,"conscious, sentient, self awareness, Awareness"
1956,Loneliness,"isolated, lone, solitary, disconnected, Loneliness"
1957,Ability to function in daily life,"ADL, frail, self-reliant, Ability to function in daily life"
1958,Disaster,"catastrophe, Disaster"
1959,Trend happiness among unemployed,"idle, jobless, Trend happiness among unemployed"
1960,Trend happiness in ethnic groups,"allochthone, autochthone, migrant, minority, race, Trend happiness in ethnic groups"
1962,Conflict in nation,"clash, disagreement, discord, opposition, tension, ingroup outgroup, Conflict in nation"
1963,Corruption in nation,"favoritism, nepotism, white collar crime, shadow economy, Corruption in nation"
1964,Belief in Just World,"optimism, weltanschauung, Belief in Just World"
1965,Social mobility in nation,"status change, intergenerational, intragenerational, Social mobility in nation"
1966,Comparability across measures,"equivalence, Comparability across measures"
1967,Working hours,"work load, working time, over time, Working hours"
1968,Mood control,"stable, impulsive, emotional, restrained, Mood control"
1969,Unemployed,", Unemployed"
1971,Party preference,", Party preference"
1972,Is happiness feasible?,"possible, practicable, progress, realistic, Is happiness feasible?"
1973,Can we be happy most of our life?,", Can we be happy most of our life?"
1974,Can we get happier than we are?,"progress, Can we get happier than we are?"
1975,Difference with wider notions of wellbeing,"divergence, hedonic vs eudaimonic, qualities of life, notions of the good life, Difference with wider notions of wellbeing"
1976,Satisfaction with spiritual life,"divine, metaphysical, religion, sacred, Satisfaction with spiritual life"
1977,Specific concepts of happiness,"components, variants, Specific concepts of happiness"
1978,Is happiness mere contentment?,"constructed, illusion, thought, Is happiness mere contentment?"
1979,Activity,", Activity"
1980,Flow Experience,"optimal experience, Flow Experience"
1983,Family situation of children,"home environment, Family situation of children"
1985,Superficial,"shallow, serious, happy hans, Superficial"
1986,Health care in vicinity,"local medical, curation, prevention, Health care in vicinity"
1987,Difference in determinants of affective and cognitive components of happiness,"need-want difference, Difference in determinants of affective and cognitive components of happiness"
1988,Divergence in components of happiness,"affective-cognitive, need-want discrepancy, Divergence in components of happiness"
1989,Attendance of cultural events,"concert, exhibition, festival, theatre, Attendance of cultural events"
1990,Indicators of public mood  in ' Big Data',"opinion climate, sentiment, spirit of the age, zeitgeist,, Indicators of public mood  in ' Big Data'"
1991,Do people judge their life at all?,", Do people judge their life at all?"
1992,Adaptation,", Adaptation"
1993,Charity in nation,"altruism, donation, generosity, giving, philanthropy, Charity in nation"
1994,Optimal degree of conditions,"curve, marginal effect, satiation, Optimal degree of conditions"
1995,Unemployment in vicinity,"local idle, jobless, welfare, Unemployment in vicinity"
1996,Technical tools,"machines, inventions, Technical tools"
1997,Reciprocity,"mutuality, trade-off, Reciprocity"
1998,Political participation,"civic involvement, Political participation"
2000,Moving experiences,"top experience, mystic, life event, Moving experiences"
2001,Models in proverbs,"adage, saying, common wisdom, Models in proverbs"
2002,Possessions,"goods, assets, capital, Possessions"
2003,Social progress in nation,"development, modernization, regression, Social progress in nation"
2006,Accident,"mishap, bad luck, Accident"
2007,Effect of weather during interview,"cloud, sunshine, rain, temperature, Effect of weather during interview"
2010,Techniques for improving comparability,"standardization, homogenization, scale interval method, reference distribution method, thurstone method, linear stretch, Techniques for improving comparability"
2011,Flex-work,"non-standard, temporary, zero hour contract, Flex-work"
2012,Life review therapy,", Life review therapy"
2015,Move (change house within country),"mobility, residential relocation, internal migration, Move (change house within country)"
2016,War,"conflict, violence, uprising, War"
2017,Pregnancy,"prenatal, Pregnancy"
2018,Priority for the least happy?,"negative utilitarianism, Priority for the least happy?"
2020,IQ in nation,"intelligence quotient, test, wisdom, IQ in nation"
2021,How universal is happiness?,"cultural difference, culturally relative, How universal is happiness?"
2022,Valuation of materialism in nation,"acquisitiveness, golden calf, greed, Valuation of materialism in nation"
2023,Balance across domains,", Balance across domains"
2024,Hedonic capacity,"savoring, art of living, openness for enjoyment, anhedonia, Hedonic capacity"
2025,Eating disorder (ICD code F50),"anorexia, bulimia, pica, Eating disorder (ICD code F50)"
2027,Public mood in nation,"zeitgeist, Public mood in nation"
2028,Festivities,"ritual, feast, games, Festivities"
2029,Sensation seeking,"thrill, Sensation seeking"
2030,Cultural difference in effects of happiness,", Cultural difference in effects of happiness"
2032,Models in advertisement,"publicity, Models in advertisement"
2034,Morality,"ethical, honest, just, principled, value driven, Morality"
2035,Enjoyment,"pleasure, Enjoyment"
2036,STUDY of HAPPINESS,"research field, strand, topic, fecitology, STUDY of HAPPINESS"
2037,Response behavior,"drop-out, refusal, no answer, Response behavior"
2038,Support groups,"peer support, Support groups"
2039,Dementia (ICD code F01-02),"senile, alzheimer disease, Dementia (ICD code F01-02)"
2040,Attitudes to inequality,"fairness, egalitarianism, Attitudes to inequality"
2041,Victim of crime,"victimized, Victim of crime"
2042,Menstruation,"period, Menstruation"
2043,Apparent efficiency in using resources,"effectiveness, Apparent efficiency in using resources"
2044,Environmental efficiency of wellbeing,"costs of happiness, Environmental efficiency of wellbeing"
2045,Trend in marital categories,"married, separated, single, divorced, widow, never married, Trend in marital categories"
2046,Maximizing,"achievement motivation, Maximizing"
2047,Imputation of missing cases,"representativeness, Imputation of missing cases"
2048,Nationalism,"ethnocentrism, Nationalism"
2049,Trend in socio-economic strata,"cast, class, rank, status, Trend in socio-economic strata"
2050,Work performance,"productivity, Work performance"
2051,Nature in nation,"biological capital, environment, Nature in nation"
2052,Housing,"dwelling, home, owner, Housing"
2053,Pleasure seeking,"hedonism, Pleasure seeking"
2054,E/immigration  in/out nation,"migration, move, refugee, E/immigration  in/out nation"
2055,Effects of follow-up interviews,"panel conditioning, Effects of follow-up interviews"
2056,Interest in happiness,"attention for, current, prevalent, Interest in happiness"
2057,Use of the word happiness,", Use of the word happiness"
2058,Web search on happiness,"e-happiness, Web search on happiness"
2059,Preference for happiness,"hedonism, Preference for happiness"
2060,Life expectancy  in nation,"longevity, Life expectancy  in nation"
2061,Trend inequality in happiness,"dispersion, standard deviation, Trend inequality in happiness"
2062,Day of the week,"weekend effect, midweek effect, monday effect, friday effect TGIF, Day of the week"
2063,Involvement in global society of nation,"Open, closed, central, peripheral, globalization, world system, Involvement in global society of nation"
2064,Income difference in region,"dispersion, inequality, Income difference in region"
2065,Economic prosperity in region,"affluence, wealth, economic development, Economic prosperity in region"
2066,Unemployment rate in region,"employment, Unemployment rate in region"
2067,Genuine,"honest, sincere, true, Genuine"
2068,Age of children,"family phase, stage, family life cycle, Age of children"
2069,Single parent,"one parent family, Single parent"
2070,Holiday travel,"mobility, move, tourism, Holiday travel"
2072,Car,"automobile, Car"
2073,Trend inequality of happiness within nations,", Trend inequality of happiness within nations"
2074,Trend inequality of happiness in publics,", Trend inequality of happiness in publics"
2075,Humorous,"joking, sarcastic, Humorous"
2076,Sustainability of the economic system in nation,"green economy, Sustainability of the economic system in nation"
2077,Attitude to one's own happiness,"acceptance of happiness, Attitude to one's own happiness"
2078,Distance to local facilities,"isolated, remote,, Distance to local facilities"
2079,Victim of bullying,"social rejection, mobbing, Victim of bullying"
2080,Meaning in nation,"goal, purpose, Meaning in nation"
2081,Nostalgia,"nostalgic, Nostalgia"
2082,Entrepreneurial climate in nation,"competitiveness, Entrepreneurial climate in nation"
2083,Crime rate in region,"corruption,  murder, theft, Crime rate in region"
