TITLE ORIGINAL,AUTHORS,PUBLICATION YEAR
"Exploring the Effects of Disparities on Subjective Well-Being in India","Deb, S.","2020"
"Measuring Successful Aging with Respect for What Matters to Older Persons","Decancq, K.; Michiels, A.","2016"
"Sexual Orientation Microaggressions and Psychological Well-  Being: A Mediational Model","Deitz, C.E.","2015"
"Why Religion Promotes Happiness","Dhir, S.","2016"
"Ed Diener: One Happy Autobiography","Levine, R.; Zelezny, L.; Rodriques, A.","2006"
"Wellness Tourism: An Application of Positive Psychological Theory to Overall Quality of Life","Dillette, A.K.","2016"
"Does Your Identity Make You Happy?","Dimitrova, R.","2014"
"Can Happiness Predict Future Volatility in Stock Markets?","Abubakr Naeem, M.; Farid, S.; Balli, F.","2020"
"Ed Diener, Obituari","Editors-johs","2021"
"An Economist’s Road to Subjective Well-Being","Easterlin, R.A.","2014"
"Global Happiness: Continental and Cross-Cultural Models Perspective","Dulababu, T.","2017"
"Happy Life Expectancy in China","Duan, Y.; Chen, W.","2020"
"Economic Transition and Happiness and Life Satisfaction in Algeria, Egypt and Morocco","Djiar, I.","2011"
"A Mediational Coping Model of Sociopersonal Well-Being and Quality of Life","Disch, W.B.","2000"
"Cognitive and Affective Well-Being Differences in Subjective and Objective Socioeconomic Status Groups","Diržyte, A.; Patapas, A.","2020"
"Along Work Hours and the Wellbeing of Fathers and Their Families","Gray, M.; Qu, L.; Stanton, D.","2004"
"Religiosity and Happiness in Indonesia: A Phenomenological Study of Young Muslims","Adriani, Y.","2018"
"Cognitive, Affective and Contextual Predictors of Subjective Wellbeing","Galinha, I.C.; Pais-Ribeiro, J.L.","2011"
"A Statistical Meta-Analysis of the Wellbeing Literature","Eger, R.J.; Maridal, J.H.","2015"
"Satisfaction as an Outcome, as a Means and as a Cause","Elsas, S.","2020"
"Life Satisfaction, Comprehensive Wealth and Sustainability in Oecd Countries, 1995 – 2005: An Exploratory Analysis","Engelbrecht, H.J.","2012"
"The Effect of the Perceived Value of Cultural Services on the Quality of Life","Ercsey, I.; Józsa, L.","2015"
"The Mediating Effect of Envy on Time Spent on Highly Visual Social Media and General Life Satisfaction in University Students","Erler, S.H.","2018"
"Third European Quality of Life Survey – Quality of Life in Europe: Trends 2003–2012","Eurofound","2012"
"Understanding Subjective Well-Being Across Countries: Economic, Cultural and Institutional Factors","Feasel, E.M.","2013"
"Quality of Life in Mexico and in Spain","Fernández-Ballesteros, R.; Arias, E.D.; Santacreu, M.","2011"
"Beyond Pleasure: A Study Into the Quality of Life of Drug Users","Fischer, J.A.","2015"
"Women of Color Counselor Educators: Overall Job Satisfaction and Subjective Well-Being at Predominately White Universities","Fitch, L.","2015"
"Objectivism and Subjectivism: Cross-National Variation in Values and Domain-Life Satisfaction Relationships","Fonberg, J.D.","2017"
"Housing and Happiness: An Empirical Study","Foye, C.","2016"
"Investigating the Relationship between Income and Subjective Well-Being in South Africa","Frame, E.","2013"
"Subjective Wellbeing: The Role of Resilience and the Resources Maintaining the Homeostatic System","Franklin, C.","2013"
"‘unhappy News’: Process, Rhetoric, and Context in the Making of the Happiness Problem","Frawley, A.","2017"
"Unhappy News': The Construction of Happiness as a Social Problem in UK Newspapers","Frawley, A.","2012"
"Aging, Mobility Impairments and Subjective Wellbeing","Freedman, V.A.; Carr, D.; Cornman, J.C.","2017"
"Gallup Global Emotions 2020","Gallup World Poll 2019","2020"
"Happiness as a Predictor of Psychological Well-Being of Male Athlete Students","Ghasempou, 1; Jodat, 2; Soleimani, M.","2013"
"The Pursuit of Happiness: A Phenomenological Research on the Views of the People about the Happiness","Gilmore, A.M.","2006"
"The Protective Role of Life Satisfaction, Coping Strategies and Defense Mechanisms on Perceived Stress Due to Covid-19 Emergency: A Chained Mediation Model","Goriid, A.; Topino, E.; ditFabio, A.","2020"
"People Typically Experience Extended Periods of Relative Happiness or Unhappiness Due to Positive Feedback Loops between Ls and Variables Which Are Both Causes and Consequences of Ls","Headey, B.; Muffels, R.","2015"
"Measuring Global Progress through Subjective Well-Being","Heylighen, F.; Bernheim, J.","2001"
"Critical Happiness Studies: An Invitation","Hill, N.; Brinkmann, S.; Petersen, A.","2020"
"Pathways to Well-Being: The Role of Female Education and Empowerment in Bangladesh","Hossain, M.","2017"
"Happiness: A Societal ‘imperative’?","Hyman, L.","2020"
"Round 11","European Social Survey (ESS),","2024"
"Eurobarometer 99 Spring 2023","Eurobarometer,","2023"
"Eurobarometer 100 Summer 2023","Eurobarometer,","2023"
"Eurobarometer 101 Spring 2024","Eurobarometer,","2024"
"Eurobarometer 98 Winter 2022-2023","Eurobarometer,","2022"
"Well-Being among Older Adults on Different Continents","Antonucc, T.C.; Okorodudu, C.; Akiyama, H.","2002"
"Subjective Well-Being: Long and Happy Lives","Auro, A.S.","2020"
"International Optimism: Correlates and Consequences of Dispositional Optimism Across 61 Countries","Baranski, E.; Sweeny, K.","2020"
"Situation of LGBTA persons in Poland: 2015-2016 report","Swider, M; Abramowicz, M.; Bulska, D.; Górska, P.; Kryszk, K.; Mazurczak, J.; Rawluszko, M.; Soral, W.; Strzalkowska, A.; Winiewski, M.","2017"
"Cross-Cultural Competence and Job Exhaustion on Life Satisfaction among Bangladeshi Employees in Malaysia","Akter, A.; Marzuki, A.","2017"
"Satisfaction with Life Scale (sls-6): First Validation Study in Parkinson's Disease Population","Ambrosio, L.","2016"
"Microfinance and Life Satisfaction in Ecuador a Study about Financial Determinants of Life Satisfaction among Micro Entrepreneurs in the Informal Economy","Brudeseth, J.","2015"
"Modernti Mes: Lawt,e Mpor Alit Y and Happiness in Hobbes, Locke and Bentham","Brunner, J.","2007"
"The Wellbeing of Australians: Housing Affordability","Capic, T.; Hutchinson, D.; Richardson, B.","2015"
"De Survey ‘sociaal-Culturele Verschuivingen in Vlaanderen’","Verlet, D.; Verhofstadt, E.; Van Ooteghem, L.","2015"
"Relationship between Happiness, Stress and Musculoskeletal Disorders in Portuguese Dentists","Esteves, M.R.","2016"
"Prevalence and Determinants of Mental Health Issues among the University Students and Its Impact on their Academic Performance and Well Being in Punjab, Pakistan","Chaudary, N.A.","2016"
"Happiness Sentiments and the Prediction of Cross-Border Country Exchange-Traded Fund Returns","Leea, C.; Chenc, M.","2020"
"Phenomological Happiness of the History and Geography Teacher in Rural","Cisneros, Y.V.; Fuster- Guillen, D.; Figueroa, R.P.","2020"
"A Psychophysiological Investigation of the Proposed Paradoxical Effects of Valuing Happiness","Coles, N.","2015"
"Turks in Bulgaria and the Netherlands: A Comparative Study of their Acculturation Orientations and Outcomes","Dimitrova, R.N.; Chasiotis, A.; Bendera, M.","2014"
"Exploring, Understanding, and Modeling the Reciprocal Relation between Leisure and Subjective Well-Being","Donga, H.; Zhang, J.; Cirillo, C.","2019"
"Adverse Life Experiences and Quality of Life among Senior Citizens of Bhutan","Dorji, N.","2016"
"A Note on Happiness and Life Satisfaction in Malaysia","Boo, M.C.; Yen, S.H.; Lim, H.E.","2016"
"Informing the Sustainable Pursuit of Happiness","Cloutier, S.; Angilletta, M.; Mathias, J.D.","2020"
"Labour Market Status and Well-Being During the Great Recession: A Changing Relationship?","Bayliss, D.","2016"
"How Do Vacations Affect Workers’ Health and Well-Being?","de Bloom, J.","2012"
"The Sense of Well-Being Inventory as a Quality of Life Measure for People with Spinal Cord Injury","Catalano, D.; Kim, J.H.; Ditchman, N.M.","2010"
"Investigating Happiness through a Psychoanalytic Social Lens: Perspectives from Filipino Adolescents","Datu, J.A.; Mateo, N.J.","2012"
"The Objective and Subjective Quality of Life in Poland","Czapinski, J.; Panek, T.","2015"
"Factors Associated with Student Happiness at Wesgreen International School, Sharjah, United Arab Emirates","Elayyan, M.N., .","2017"
"Judgments of Life Satisfaction: The Role of Negativity and Life Events","Engel, J.","2017"
"Investigating Determinants that Affect Job and Life Diss Atisfaction : The Case of Relocation","Kim, Y.; Cho, Y.","2020"
"The Effect of the Perceived Value of Cultural Services on the Quality of Life","Ercsey, I.; Józsa, L.","2015"
"Quality of Life in Europe: Trends 2003–2012","Eurofouund","2016"
"Satisfaction with personal life","Gallup,","2024"
"Life satisfaction in Canada before and during the COVID-19 Pandemic","Helliwell, J.F.; Fonberg, J.D.; Schellenberg, G.","2020"
"Trends and patterns of life-satisfaction and its relation with social support in Canada 2009-2018","Su, Y; De Arcy, C; Li, M; Meng, F.C.","2022"
"The Quest for Maslow’s Self-Actualisation Need in Leadership: A Review of Happiness in the Nigerian Economy","Ewugi, M.S.; Karim, M.Z.; Abdul-Hakim, R.","2015"
"The Subjective Well-Being of Youth Heads of Households in Rural Southern Malawi","Fruechting, P.","2014"
"Happiness as a Predictor of Psychological Well-Being of Male Athlete Students","Ghasempour, A.; Jodat, H.; Soleimani, M.","2013"
"The Pursuit of Happiness: A Phenomenological Research on the Views of the People about the Happiness","Gilmore, M.","2006"
"Impact of Middle-Level Managers Well-Being and Happiness on Direct Reports Performance","Green, R.","2014"
"Emotional Intelligence and Psychologicalwell-Being in Adolescents","Guerra-Bustamante, J.; León-del-Barco, B.; Yuste-Tosina, R.","2019"
"A Sociological Analysis of Associations between the Family and Well-Being: Roles, Responsibilities, and Relationships","Hart, D.","2015"
"Lebenszufriedenheit Von Frauen Im Übergang Zur Elternschaft","Haumer, M.","2009"
"Satisfaction with Life, Happiness, and Family Status in Twenty-one European Countries","Hamplova, D.","2006"
"Positive Psychological Therapies on Happiness and Responsibility of Household Supervisor Women","Hedayat Abad, S.B.; Teimouri, S.","2018"
"A Note on the Measurement of the Relationship between Happiness and Gdp","Heijman, W.; Van Ophem, J.; van Logtestijn, J.","2016"
"Easterlin or Cantril: Does a Country’s Income Determine Its People’s Happiness?","Heinzman, J.","2015"
"Well-Being and Income, a European Study","Henn, J.","2016"
"Unraveling Overall Quality of Life","Herman, P.M.","2008"
"Historical Analysis of National Subjective Wellbeing Using Millions of Digitized Books","Hills, T.; Proto, E.; Sgroi, D.","2019"
"Happiness, Relative Income and the Specific Role of Reference Groups","Hindermann, C.","2014"
"The Household, Income and Labour Dynamics in Australia Survey: Selected Findings from Waves 1 to 18 The 15th Annual statistical Report of the HILDA survey","Wilkins, R.; Botha, F.; Vera-Toscano, E; Wooden, M.","2020"
"Life satisfaction and mental health among transgender students in Norway","Anderssen, N.; Lonning, K.J.; Malterud, K.; Sivertsen, B.","2020"
"Sexual orientation and life satisfaction","Bartram, D.","2021"
"The different effects of collective narcissism and secure ingroup identity on collective action and life satisfaction among LGBTQ+ individuals","Górska, P.; Marchlewska, M.; Matera, J.; Stefanik, A.","2024"
"Religious/Spiritual Struggles and Life Satisfaction Among Sexual Minorities","Paulez, J.; Brandys, T.R.; Davis, E.B.; Johnson, B.D.; Lacey, E.K.; Sullivan, J.","2023"
"Role of Religiosity in Psychological Well-Being and Subjective Happiness among Transgender Considering Social Support as a Moderator","Fatima, R.; Aslam, M.; Qamar, F.; Qurat-ul-Ain, A.","2023"
"Psychosocial Functioning in Transgender Youth after 2 Years of Hormones","Chen, D.; Berona, J.; Chan, Y.; Ehrensaft, D.; Garofalo, R.; Hidalgo, C.; Olson-Kennedy, J.; Rosenthal, S.M.; Tishelman, A.C.","2023"
"Emerging from a two-year-long quarantine: a retrospective study on life satisfaction trajectory and depression among young LGBTQ+ students in the Philippines","Cleofas, J.V.; Alibudbud, R.C.","2023"
"Are transgender people satisfied with their lives?","Grupp, K.; Blessmann, M.; Hajek, A.; Koning, H.","2023"
"Pleasure please! Sexual pleasure and influencing factors in transgender persons: An ENIGI follow-up study","Gieles, N.C.; Becker-Hebly, I.; Elaut, E.; Heylens, G.; Kreukels, B.P.; Laan, E.; Nieder, T.O.; VandeGrift, T.C.","2022"
"Furthering transgender inclusion in the workplace: advancing a new model of allyship intentions and perceptions","Fletcher, L.; Marvell, R.","2023"
"Lebenszufriedenheit Von Frauen Im Übergang Zur Zweitelternschaft","Hofer, D.","211"
"Congruence between Social Values and Implicit Motives: Effects on Life Satisfaction Across Three Cultures","Hofer, J.; Chasiotis, A.; Campos, D.","2006"
"Always Look on the Bright Side of Life : The Relationship between Coping Humor, Negative Life Events, and Life Satisfaction in American and Israeli College Students.","Hofstein, Y.","2005"
"Agency, Human Dignity and Subjective Well-Being","Hojman, D.; Miranda, A.","2015"
"Adjustment in Victims of September 11: Reactions to a Large-Scale Civilan Trauma","Holmes, S.E.","2004"
"Character Strengths, Life Satisfaction and Orientations to Happiness – a Study of the Nordic Countries","Hool, K.","2011"
"Questions of Priority and Interspecies Comparisons of Happiness","Horta, O.","2011"
"Associations between Life Satisfaction, Time Use and Exploratory Buying Behavior  -  Quantitative Exploratory Study among Finnish Business Students","Huttunen, E.","2013"
"""lebenssinn, Ziele Und Glück: Das Kausalverhältnis Zwischen Lebenssinnauffassung Und Ziel-  Und Glücksaspekten (meaning of Life, Goals and Happiness: The Causal Relationship between the Perception of Meaning in Life and Goal and Happiness Aspects)""","Ciccarello, L.","2010"
"Lebensqualität von StudentInnen im Vergleich zu gleichaltrigen Berufstätigen ","Bell, L.M.","2009"
"Happiness in Australia 2001-2023","Cummins, R.A.","2024"
"The Effects of Formal Female Employment on Wellbeing: A Global Perspective","Kabahizi, C.B., .","2019"
"A Study on Medical Practitioners’ Life Satisfaction","Kadadi, S., .","2020"
"Should Public Pursuance of Happiness Be Discredited?","Ibeka, V.U.","2014"
"Women Active Citizenship and Wellbeing: The Italian Case","Iezzi, D.F.; Deriu, F.","2013"
"Lower Executive Functioning Predicts Steeper Subsequent Decline in Well-Being Only in Young-Old But Not Old-Old Age","Ihle, A.; Ghisletta, P.; Gouveia, E.R.","2020"
"Does Gender Matter?","Iupui","2017"
"Perceived Stress and Adequacy of Social Support: Implications for Subjective Well-Being in Married Doctors","Ilyas, U.; Fatima, A.; Hashmi, A.","2020"
"The Importance of Affective and Cognitive Dimensions of Happiness  -  Analysis in European Countries","Ioana, C.; Adrian, S.","2020"
"Happiness and Policy","Iparraguirre, J.L.","2019"
"Wie Glücklich Ist Das Land? Zum Zusammenhang Von Geld Und Glück","Irmen, A.; Tabakovic, A.","2012"
"Happiness in Economics as Understood Across Ism and Religion","Ismai, A.G.; Haron, N.","2014"
"The Relationship between Emotional Intelligence, Sence of Coherence, Optimism and Life Satisfaction of Students","Jansen, K.","2006"
"An Investigation Into the Subjective Well-Being of the Female Stripper","Jansen, R.C.","2008"
"The Contribution of Economic, Social and Environmental Factors to Life and Tourist Satisfaction.","Jarvis, D.","2016"
"Preference to Work and Its Effects on Economic Growth and Happiness","Jin, J.Y.; Selvaretnam, G.","2020"
"An Analysis of the Relationship Bet\vee~ Subjective \\'ell-Being and Its Predictors","Kafka, G.J., .","2000"
"Investigating the Effects Birth Order Has on Personality, Self-Esteem, Satisfaction with Life and Age","Johnson, S.","2014"
"Flexible Working Arrangements, Work-Family Conflict and Well-Being among Working Mothers During Covid-19 Lockdown","Jordaan, E.","2017"
"The Association between Physically Active Leisure, Physical and Mental Health and Life Satisfaction among Canadian Immigrants","Joshua, K.K.","2019"
"A Short Introduction to Happiness in Social Sciences","Jugureanu, A.","2016"
"A Study on the Correlation between Social Class and Life Satisfaction Perceived by the Korean Elderly","Jung, M.H.","2020"
"Using Memories to Assess the Intrapersonal Comparability of Wellbeing Reports","Kaiser, C.","2020"
"Uso de Facebook, soporte social y satisfacción con la vida en universitarios limeños","Adarmes, N.I.","2016"
"Happiness and farm productivity: insights from maiize farmers in China","Ma, W.; Vatsa, P; Zheng, H; Zhou, X","2021"
"Empirical analysis of the relationship between happiness and agricultural productivity in African countries","Khaled, R; Ben Afia, N","2024"
"The Role of Attachment Dimensions, Relationship Status, and Gender in the Components of Subjective Well-Being","Kankotan, Z.Z.","2008"
"Can Music Genre Predict Happiness of a Country?","Kapoor, I.; Borgohain, J.; Mandal, M.K.","2020"
"Income Growth Is Unlikely to Help, But We Can Learn Frominternational Comparisons","Kapteyn, A.","2020"
"Institutional Determinants of Happiness","Karnetzky, J.","2020"
"Quality of Life in Croatia: Key Findings from National Research","Bejakovic, P.; Lipovcan, L.K.; Pilar, I.","2007"
"Why the Danes Are the Happiest People on Earth The Selective Outmigration By Personality Hypothesis (SOPHy) of Group Character","Lim, C.; Lopez, T","2024"
"Higher education for happiness? Investigating the impact of education on the hedonic and eudaimonic wellbeing of Europeans","Jongbloed, J","2018"
"An Investigation about the Relationship between Life Satisfaction and Loneliness of Nursing Students ??n U??ak University","Akhunlara, M.N.","2010"
"Economic Freedom, Money and Happiness – Why Deregulation Matters Beyond Its Wealth Enhancing Effect","Knoll, B.; Pitlik, H.; Rode, M.","2013"
"Work-Life Balance in the Digital Workplace: The Impact of Schedule Flexibility and Telecommuting onWork-Life Balance and Overall Life Satisfaction","Lee, D.J.","2019"
"Wealth, Social Capital and Happiness: The Case of Status Sensitive People","Levy, A.","2007"
"In Pursuit of Culturally Relevant Indicators of Indigenous Wellbeing Operationalising the ‘recognition Space’","Yap, M.L.","2017"
"Individual quality of life and lifestyle","Czapinski, J.","2015"
"Subjective Well-Being in Italian Regions: A Panel Data Approach","Magazzino, C.; Leogrande, A.","2020"
"The Easterlin Paradox","Easterlin, R.A.; O’Connor, K.J.","2020"
"The Effect of Stress Management Technique Training on the Ports and Shipping Organization Employees’ Happiness","Majidi, T.; Hosseini, A.; Jafarib, P.","2012"
"Sexual health status and quality of life among transgender population in Chennai","Krishna Prashanth, B.; Anantha Eashwar, V.M.; Kalpana, S.; Mahalakshmi, K.; Umadevi, R.","2021"
"O Bem-Estar Subjetivo Na Adolescência: Contributo Das Variáveis Sociodemográficas E Psicológicas.","Amaro de Assunção, C.M.","2014"
"Conductas De Riesgo Para La Obesidad, Habilidades Sociales Y Satisfacción Vital En Adolescentes","Amavizca, A.C.","2013"
"MUTLULUK TARIHI","Arici, H.Y.","2020"
"Mutluluk Tarihi","Arici, H.Y.","2020"
"Régulation Émotionnelle, Attachement et Satisfaction de vie","Amaro, L.P.","2013"
"Feel good while pregnant: Psychometric assessment of the current subjective well-being and coping in pregnancy","Ayerle, G.M.","2009"
"Investigation of Individuals Happiness Levels in Turkey Period of 2009-  2019","Ayvaz kizilgöl, Ü.Ö.; Öndes, H.","2020"
"Can the Economics of Happiness Revive the Economics of Welfare","Barbieri, A.S.","2014"
"The relationship between government and happiness: analysis of Canadian provincial governments","Beaudin, E.","2015"
"Psychometric Properties of the Well-Being Scales: Pwi, Swls, Bmslss and Cas","Bedin, L.M.","2014"
"Arbeitslosigkeit und Lebensqualität in Europa","Bell, D.; Maier, G.","2009"
"Unterschiede in der allgemeinen Lebensqualität und den Bereichszufriedenheiten von Personen mit und ohne Kinder","Bleyer, A.","2012"
"Eine Intervention zur Steigerung des subjektiven Wohlbefindens bei älteren Menschen.","Brunnhuber, E.M.","2010"
"How Happy Are German Children? A Study of the Psychology of Happiness on Behalf of the Zdf","Bucher, A.A.","2009"
"Resiliencia y satisfacción con la vida en adolescentes según nivel de espiritualidad","Caccia, P.A.; Elgier, A.M.","2020"
"De survey ‘Sociaal-culturele verschuivingen in Vlaanderen’","Carton, A.; Pickery, J.; Verlet, D.","2015"
"Sociaal-Culturele Verschuivingen in Vlaanderen","Carton, A.; Pickery, J.; Verlet, D.","2015"
"La croissance ne fait pas le bonheur : les économistes le savent-ils ?","Cassiers, I.; Delain, C.","2006"
"Life Satisfaction – Migrants from Serbia and Montenegro to Denmark: Case Study","Rajovic, G.; Bulatovic, J.","2016"
"Long Term Changes in the Quality of Life of Lithuanian Population: 20 Years in the Market Economy","Rakauskiene, O.G.","2014"
"Indirect Relationship of Attachment, Immediacy, Interpersonal Needs and Interpersonal Attraction between Emotional Intelligence and Life Satisfaction: An Empirical Study of Malaysian Undergraduates","Ramachandran, K.S.; Hamsan, H.H.; Khir, A.M.","2020"
"Equality of Opportunity in Four Measures of Well-Being","Mahlery, D.G.; Ramos, X.","2018"
"The Impact of Happiness on Economic Growth and Community Development: A Dynamic Panel Estimation.","Rasiah, R.; Guptan, V.; Habibullah, M.S.","2019"
"Does Economic Development and Democracy Translate to Happiness? A Global Perspective","Ratneswary, R.; Rasiah, V.; Thuraisingam, A.S.","2013"
"Reconceptualising Human Needs, Equity and Wellbeing in the Context of Global Sustainability","Read, P.A.","2013"
"Felicidad y rendimiento laboral en los colaboradores de Mapfre Chimbote, 2019","Chervellini Orbegozo, F.M.","2019"
"Bienestar subjetivo y apoyo social percibido en estudiantes de secundaria de una institución educativa pública de Lima Este (Bienestar Subjetivo Y Apoyo Social Percibido En Estudiantes De Secundaria De Una Institución Educativa Pública De Lima Este)","Colos, F.V.","2019"
"Satisfacción Sexual Y Felicidad En Los Estudiantes.","Conche, N.P.; Aguilar, G.C.","2017"
"EFEITOS DE UM PROGRAMA DE ENVELHECIMENTO ATIVO EM SENTIMENTOS DE IDOSOS","Cruz Mateus, P.","2015"
"Progress in Understanding Subjective Quality of Life","Cummins, R.A.; Cahill, J.","2000"
"Glück und Nachhaltigkeit: Subjektives Wohlbefinden als Leitmotiv für nachhaltige Entwicklung","Dallmer, J.","2020"
"Why the Danes Are the Happiest People on Earth: The Selective Outmigration By Personality Hypothesis (SOPHy) of Group Character","Kanazawa, S.; Lopez, C.A.","2024"
"A importância social da felicidade","Dantas, A.R.","2015"
"INFLUÊNCIA DA IDADE, DO GÉNERO E DA FÉ RELIGIOSA NO BEM-ESTAR SUBJECTIVO DE ADULTOS IDOSOS","da Silva, A.S.","2008"
"Estrés Académico, Satisfacción Con La Vida Y Rendimiento Académico En Estudiantes.","De la Cruz, N.L.","2017"
"Percepciones de autoevaluación: Autoestima, autoeficacia y satisfacción vital en la adolescencia","Carmen Reina, F.; Oliva, A.; Parra, Á.","2010"
"BIENESTAR Y FELICIDAD: RELACIÓN CON LA RENTA Y EL CAPITAL SOCIAL EN PAÍSES EUROPEOS","Díaz, R.V.; Portela, M.M.; Neira, I.G.","2011"
"Motivação Para O Crescimento Pessoal: O Papel Mediador Do Growth Seeking.","Diogo, S.D.","2019"
"Economía de la Felicidad: Implicaciones para las Políticas Públicas.","Domínguez, J.B.","2017"
"LA ESPERANZA Y LA SATISFACCIÓN CON LA VIDA EN LA POBLACIÓN ACTIVA E INACTIVA","Escorial, B.S.","2016"
"R Egulaçã O E Mocional E S Atisfaçã O Com a Vida: Estudo Comparativo.","Antunes, B.F.","2016"
"Internet y su repercusión en la autopercepción individual del bienestar","Félix, L.J.; Sabrina, F.","2019"
"Satisfacción Con La Vida Y Bienestar Psicológico En Los Estudiantes Del Nivel Secundario.","Fernandez, A.P.; Herrera, N.A.","2019"
"„Gesundheit und subjektives Wohlbefinden“","Freisslich, J.","2015"
"SUBJEKTIVES WOHLBEFINDEN IN ZEITEN DES SOZIALEN WANDELS ZUR ADAPTIVITÄT VON BEWÄLTIGUNGSSTRATEGIEN","Grümer, S.","2009"
"Persönlichkeit Und Wohlbefinden Das Zusammenspiel Von Anlage Und Umwelt In Einem Erweiterten Verhaltensgenetischen Design","Hahn, E.","2013"
"Florescimento, Satisfação com a Vida e seus correlatos em Idosos","Ferreira, S.A.","2019"
"Éducation des adultes au bonheur : modélisation du bonheur, caractérisation des modalités et des principes d’apprentissage","Feuvrier, M.P.","2015"
"Motivação Para a Prática De Atividade Física E Satisfação Com a Vida Nas Ciências Da Saúde Alunos Do 1º Ano.","Honório, S.; Batista, M.; Silva, M.G.","2019"
"CONOCIMIENTO CONTRA INFELICIDAD: PARA UNA PSICOLOGÍA EPICÚREA","Fierro, A.","2008"
"Modelo predictivo del Bienestar Psicológico a partir de la Satisfacción con la Vida en jóvenes de la ciudad de Arequipa (Perú)  (Predictive Model Of Psychological Health Based On Life Satisfaction Among Young People In The City Of Arequipa (perú))","Huamani, J.C.; Lizandro, W.C.; Gallegos, A.","2018"
"Bienestar subjetivo y su estudio con redes semánticas en análisis lineal y no lineal","Flores–Cano, O.; Reyes–Lagunes, I.; Rivera–Aragón, S.","2019"
"Dinámicas distributivas de la satisfacción vital en Europa","Jord, V.; Noval, B.L.; Sarabia, J.M.","2015"
"Economía y Felicidad: La paradoja de Easterlin en Galicia","Garcia, S.D.","2013"
"Bien-être à la retraite selon le genre et l’âge : lien avec la perception du travail ancien","Joulain, M.; Herv, C.; Bailly, N.","2011"
"Liens entre vécu au travail et bien-être subjectif des infirmier(ère)s : des effets réciproques","Joulain, M.; Coulombier, G.","2016"
"Psychologisches Wohlbefinden und Erwartungsdruck – qualitative und quantitative Forschungszugänge im Vergleich","Klug, J.","2010"
"Saglik Bilimleri Fakültesi Ögrencilerinin Psikobiyotik Özellik Gösteren Besinlerin Tüketim","Kuyumcu, A.; Yildiz, M.","2019"
"Happiness: What Can We Learn from Indonesian?","Landiyanto, E.A.; Jeffrey, .; Puspitasari, M.","2010"
"Facteurs de satisfaction associés au bonheur de l'adulte","Laroche, C.; de Grâce, G.R.","1997"
"Facteurs De Satisfaction Associés Au Bonheur De L'adulte.","Laroche, C.; de Grâce, G.R.","1997"
"Facteurs De Satisfaction Associés Au Bonheur De L'adulte.","Laroche, C.; de Grâce, G.R.","1997"
"Facteurs De Satisfaction Associés Au Bonheur De L'adulte.","Laroche, C.; de Grâce, G.R.","1997"
"Facteurs De Satisfaction Associés Au Bonheur De L'adulte.","Laroche, C.; de Grâce, G.R.","1997"
"The Prospects, Practices, and Prescriptions for the Pursuit of Happiness","Layous, K.; Sheldon, K.M.; Lyubomirsky, S.","2014"
"Wohlbefinden, Lebensqualität und Umwelt","Maderthaner, R.","1998"
"Ist Glück ein affektiver Sozialindikator subjektiven Wohlbefindens?","Mayerl, J.","2001"
"Orgulho de Ser Brasileiro Impacta o Nível de Felicidade?","Massaro Onusic, L.; Mendes-da-Silva, W.","2015"
"Ratschläge zum subjektiven Wohlbefinden als Indikator für Glück“","Mayerweck, E.","2014"
"Ortaokul Ögrencilerinin Aile Iliskileri Ve Mutluluk","Mert, A.","2018"
"Happy Without Money: Minimally Monetized Societies Can Exhibit High Subjective Wellbeing","Miñarro, S.; Reyes-Garci´a, V.; Aswani, S.","2021"
"""análise Do Impacto Da Prática Yoga Na Autoestima, Autoconceito, Bem-Estar Psicológico E Satisfação Com a Vida (analysis of the Impact of Yoga Practice Na Self-Esteem, Self-Conceito, Psychological Health and Life Satisfaction) ""","Mitroi, C.G.","2017"
"Satisfacción con la Vida y la Autoeficacia Específica para el Afrontamiento del Estrés, en los Estudiantes Universitarios","Morales Romero, G.P.; Quispe, P.L.; Cristobal, O.E.","2017"
"Evidence on the Bidirectional Relationship between Health and Life Satisfaction in Older Adults","Moreno-Agostino, D.; Abad, F.J.; Caballero, F.F.","2021"
"Whose Happiness in Which Cities? A Quantile Approach","Morrison, P.S.","2021"
"Quality of Life and Social Capital in Mashhad City in Iran","Noghani, M.; Asgharpour, A.; Kermani, M.","2009"
"Health and Its Effects on the Quality of Life in the EU Countries","Novákov, B.; Vagašova, T.","2016"
"Perspectives of Parents on the Meaning of Happiness in Children with Long-Term Illness: A Hybrid Concept Analysis","Nukpezah, R.N.; Cheraghi, C.A.; Hoseini, A.S.","2020"
"An Analysis of the Lack of Correlation between Subjective Wellbeing and Objective Indicators for Human Development in China","Meng, d.","2012"
"Are Turkish Housewives Happy? A Qualitative Approach","Nurdinova, S.; Adaçay, F.R.","2021"
"An Analysis of the Factors that Affect the Life Satisfaction of Elderly Turks Living in Australia","Öztop, H.; Kinaci, B.","2016"
"Über die positiven Folgen des christlichen Glaubens ","Fix, H","2024"
"Correlates of dimensios of happiness in urban and non-urban settings","Fengler, A.P.; Danigelis, N.L.; Little, V.C.","1983"
"MACHT GESELLSCHAFTLICHES ENGAGEMENT GLU¨CKLICH? ","Muff, C.","2020"
"Krankheitsbedingte Alltagseinschränkungen, subjektive Gesundheit, Lebenszufriedenheit und freiwilliges Engagement","Müller, D.; Tesch-Römer, C.","2017"
